Skill1,Skill2,Skill3,Skill4,Skill5,Skill6,Skill7,Skill8,Proficiency Level,Skill Category,Years of Experience,Job Role Suggestions,Average Skill Score
51,92,14,71,60,20,82,86,Advanced,Web Design,7,Developer,59.5
34,67,48,55,72,41,88,92,Beginner,Frontend Development,2,Junior Developer,56.25
75,82,34,91,50,68,23,60,Advanced,Backend Development,10,Senior Developer,66.75
44,25,82,15,60,70,90,40,Intermediate,UI/UX Design,4,Designer,57.5
64,93,54,33,22,78,67,45,Intermediate,Web Development,5,Web Developer,56.25
89,58,27,39,77,15,34,88,Expert,Full Stack Development,8,Lead Developer,67.75
12,34,66,40,21,48,70,92,Beginner,Web Design,1,Web Development Intern,47.25
47,53,60,78,84,20,39,65,Advanced,Data Analysis,6,Data Analyst,58.25
29,85,74,55,71,39,33,55,Intermediate,SEO,3,SEO Specialist,54.5
82,48,29,22,61,76,50,71,Expert,Software Development,9,Software Engineer,64.5
50,60,20,10,80,90,45,30,Beginner,Web Development,2,Junior Developer,52.75
73,72,56,80,55,64,92,41,Advanced,Frontend Development,7,Frontend Developer,62.0
65,88,90,50,49,70,38,34,Intermediate,Full Stack Development,3,Full Stack Developer,60.75
39,77,44,31,88,20,58,94,Beginner,Backend Development,1,Web Development Intern,50.0
25,85,50,43,67,18,59,78,Advanced,Web Design,6,Web Designer,55.5
58,90,12,60,40,77,85,52,Intermediate,UI/UX Design,4,Product Designer,58.0
90,61,35,44,79,34,72,82,Expert,Software Engineering,11,Technical Lead,66.0
40,30,20,10,60,45,50,50,Beginner,Web Development,1,Web Development Intern,49.5
70,90,78,70,80,15,34,45,Advanced,Data Science,5,Data Scientist,65.0
55,44,67,50,72,80,89,90,Intermediate,Web Development,4,Web Developer,61.25
11,50,21,43,65,45,99,54,Beginner,Web Design,1,Web Development Intern,49.0
95,39,61,29,56,83,52,34,Expert,Full Stack Development,12,Senior Full Stack Developer,68.25
88,24,15,64,71,47,31,90,Advanced,Mobile Development,8,Mobile Developer,64.0
20,78,88,53,33,29,91,25,Intermediate,Frontend Development,3,Web Developer,55.0
66,77,20,20,34,48,35,54,Beginner,Backend Development,2,Junior Backend Developer,51.5
79,29,90,80,12,54,80,62,Advanced,Web Design,6,Web Designer,59.5
31,85,45,68,81,39,15,77,Intermediate,SEO,3,SEO Specialist,57.0
37,72,50,80,49,80,76,40,Expert,Data Analysis,10,Senior Data Analyst,65.5
24,83,21,75,52,31,30,90,Beginner,Web Development,1,Web Development Intern,46.0
68,59,33,48,62,75,44,78,Advanced,UI/UX Design,7,UI Designer,63.25
54,92,19,89,41,32,22,56,Intermediate,Software Development,5,Software Engineer,57.75
85,37,61,40,78,27,90,29,Expert,Full Stack Development,11,Senior Developer,67.5
23,64,18,21,45,80,89,40,Beginner,Web Design,1,Web Development Intern,48.5
62,90,44,30,60,34,55,99,Advanced,Web Development,8,Web Developer,63.0
14,56,87,75,55,30,34,61,Intermediate,SEO,4,SEO Analyst,56.25
76,78,50,55,29,20,85,53,Expert,Data Science,10,Data Scientist,68.0
47,65,38,29,22,99,17,90,Intermediate,UI/UX Design,5,UI Developer,58.0
83,39,22,14,45,66,80,20,Advanced,Mobile Development,9,Mobile Developer,62.5
35,82,77,66,70,48,58,73,Beginner,Frontend Development,2,Junior Developer,52.0
91,76,34,88,64,22,41,12,Intermediate,Web Design,6,Web Designer,59.25
30,67,16,10,20,80,99,82,Advanced,Backend Development,8,Backend Developer,61.0
73,80,50,60,40,55,90,30,Expert,Software Engineering,12,Technical Lead,66.5
15,39,71,32,55,44,88,19,Beginner,Web Development,1,Web Development Intern,47.75
53,92,60,50,72,55,38,82,Intermediate,Data Analysis,5,Data Analyst,60.5
67,40,11,78,20,30,92,60,Advanced,Web Development,9,Web Developer,64.0
22,85,30,60,40,95,21,50,Beginner,UI/UX Design,2,Web Development Intern,49.25
50,78,45,36,67,20,77,83,Expert,Full Stack Development,10,Senior Developer,68.0
86,30,24,51,60,65,88,60,Intermediate,Software Development,3,Software Engineer,60.0
59,67,45,82,81,12,20,89,Advanced,Mobile Development,8,Mobile Developer,63.0
42,90,15,80,70,99,62,34,Beginner,Web Design,2,Web Development Intern,52.5
48,40,34,24,15,74,88,76,Intermediate,Web Development,5,Web Developer,58.25
31,50,20,90,63,20,77,38,Advanced,Data Science,6,Data Scientist,61.5
19,95,11,43,29,67,84,90,Beginner,SEO,2,Junior SEO Analyst,50.0
94,66,36,58,20,49,60,39,Intermediate,UI/UX Design,4,UI Developer,59.5
70,78,34,66,80,20,22,50,Expert,Software Engineering,11,Technical Lead,66.5
28,52,62,70,48,30,99,92,Beginner,Web Design,1,Web Development Intern,46.5
15,90,15,40,80,44,51,88,Intermediate,Mobile Development,5,Mobile Developer,58.75
39,80,74,67,82,70,62,31,Advanced,Full Stack Development,9,Full Stack Developer,62.75
24,58,25,80,34,10,77,49,Beginner,Web Development,2,Junior Developer,51.5
89,67,31,56,78,83,94,30,Expert,Software Development,12,Software Engineer,66.0
54,34,12,21,64,18,60,90,Intermediate,Data Analysis,3,Data Analyst,56.5
11,20,40,70,40,88,45,56,Beginner,Web Design,1,Web Development Intern,48.0
79,92,60,80,90,52,39,30,Advanced,UI/UX Design,7,UI Designer,62.0
61,50,20,88,82,19,90,45,Expert,Software Engineering,10,Lead Software Engineer,67.0
36,81,55,40,30,77,21,48,Intermediate,Web Development,5,Web Developer,59.0
38,66,42,53,90,30,36,80,Beginner,Frontend Development,2,Junior Developer,50.5
66,85,55,76,70,35,58,72,Advanced,Data Science,6,Data Analyst,62.5
52,70,60,80,92,77,64,32,Intermediate,Web Development,4,Web Developer,60.0
72,90,20,75,59,67,85,49,Beginner,Backend Development,2,Junior Developer,53.0
91,68,80,65,48,22,85,99,Expert,Software Development,11,Software Engineer,68.0
49,57,38,90,20,66,28,62,Intermediate,SEO,5,SEO Analyst,57.5
77,63,11,90,35,80,52,61,Advanced,Full Stack Development,9,Full Stack Developer,62.0
54,92,67,50,44,39,59,70,Beginner,Mobile Development,1,Mobile Developer,49.5
30,45,65,44,78,90,62,20,Advanced,Web Design,7,Web Designer,60.5
81,50,64,89,71,59,49,87,Intermediate,Web Development,4,Web Developer,58.5
56,67,21,39,48,32,90,55,Expert,Full Stack Development,10,Full Stack Developer,67.0
74,59,67,90,60,72,40,25,Advanced,Software Development,8,Software Engineer,61.5
93,91,49,25,75,20,60,99,Intermediate,Mobile Development,6,Mobile Developer,60.75
16,41,77,51,72,64,33,47,Beginner,SEO,2,SEO Specialist,52.5
81,92,50,80,88,22,58,72,Advanced,Data Science,7,Senior Data Analyst,62.25
28,48,39,62,54,90,72,57,Intermediate,UI/UX Design,5,Product Designer,59.0
59,40,77,41,50,88,66,49,Expert,Software Development,11,Lead Software Engineer,68.5
69,63,80,70,92,90,55,64,Intermediate,SEO,4,SEO Specialist,58.5
40,78,39,80,56,47,39,12,Advanced,Web Design,7,Web Designer,60.0
51,49,90,69,32,75,60,42,Expert,Web Development,10,Web Developer,67.5
18,28,46,40,37,99,59,78,Beginner,Mobile Development,1,Mobile Developer,47.5
33,20,62,68,40,81,99,72,Intermediate,Backend Development,4,Backend Developer,56.75
40,99,57,22,56,54,65,31,Advanced,Web Development,7,Web Developer,62.25
85,30,60,82,45,70,90,68,Intermediate,Full Stack Development,5,Full Stack Developer,59.25
80,70,48,60,35,60,80,61,Expert,Software Engineering,11,Senior Software Engineer,66.75
76,48,15,65,90,60,78,49,Expert,Full Stack Development,10,Lead Full Stack Developer,67.5
38,29,50,55,30,33,80,76,Beginner,Web Design,2,Web Development Intern,50.0
63,82,12,48,60,88,40,90,Intermediate,Software Engineering,4,Software Engineer,60.0
88,55,38,90,45,20,52,78,Advanced,Data Analysis,7,Data Analyst,62.25
24,90,44,58,34,67,80,12,Beginner,Mobile Development,1,Web Development Intern,48.5
15,64,26,80,90,78,66,32,Intermediate,Web Development,3,Web Developer,58.0
32,85,50,90,75,22,39,45,Advanced,Software Engineering,8,Software Engineer,63.5
97,38,45,55,34,90,20,49,Expert,Full Stack Development,12,Senior Developer,68.0
39,59,88,21,80,20,70,12,Beginner,UI/UX Design,1,Web Development Intern,46.75
68,34,90,64,22,56,40,52,Intermediate,Data Analysis,5,Data Analyst,58.5
56,60,25,39,90,45,30,88,Advanced,Web Development,9,Web Developer,62.5
18,85,70,55,60,20,88,30,Beginner,SEO,2,Junior SEO Analyst,49.25
20,71,40,80,85,34,75,62,Intermediate,Mobile Development,6,Mobile Developer,58.0
90,65,38,72,79,22,80,90,Expert,Software Engineering,10,Lead Engineer,67.75
36,92,16,50,30,44,60,90,Beginner,Web Design,1,Web Development Intern,47.5
44,80,61,75,62,55,39,45,Advanced,Full Stack Development,8,Software Engineer,63.0
25,91,34,90,40,20,80,49,Intermediate,Data Analysis,5,Data Analyst,59.5
72,82,50,64,22,88,45,36,Expert,Mobile Development,11,Mobile Engineer,66.25
27,63,29,41,85,77,80,90,Beginner,UI/UX Design,2,Web Development Intern,50.75
31,85,66,71,90,34,20,50,Advanced,Web Development,6,Web Developer,60.0
54,36,18,40,48,90,45,88,Intermediate,Software Engineering,4,Software Engineer,58.5
82,55,45,36,60,20,90,62,Beginner,SEO,2,Junior SEO Analyst,49.0
67,62,34,71,81,45,39,48,Advanced,Data Science,8,Data Scientist,63.5
24,40,52,15,78,20,61,12,Beginner,Web Design,1,Web Development Intern,46.0
93,72,80,60,70,32,44,49,Expert,Full Stack Development,10,Lead Developer,68.0
37,85,25,40,90,58,62,76,Intermediate,UI/UX Design,5,UI Developer,60.75
12,90,38,36,48,20,89,30,Beginner,Mobile Development,2,Web Development Intern,49.5
38,69,72,66,55,44,90,40,Advanced,Software Engineering,7,Software Engineer,62.0
58,80,14,51,90,60,32,29,Intermediate,Web Development,3,Web Developer,59.0
19,92,42,73,80,20,76,34,Beginner,Data Analysis,1,Web Development Intern,48.5
55,70,60,90,40,72,25,82,Advanced,Full Stack Development,9,Full Stack Developer,62.5
16,90,14,30,78,22,85,40,Beginner,SEO,2,Web Development Intern,47.0
47,68,29,40,90,88,20,44,Intermediate,Mobile Development,6,Mobile Developer,58.25
80,85,25,39,61,40,90,60,Expert,Software Engineering,10,Lead Engineer,66.0
13,70,31,25,36,72,48,51,Beginner,Web Design,1,Web Development Intern,46.75
39,88,52,62,80,20,45,30,Advanced,Data Science,7,Data Scientist,62.0
29,60,40,90,70,34,77,82,Intermediate,Frontend Development,5,Web Developer,57.75
75,50,11,30,85,22,90,54,Beginner,Web Development,2,Junior Developer,49.0
60,93,60,54,82,40,10,72,Expert,Full Stack Development,11,Senior Developer,67.5
34,68,38,72,40,10,25,84,Intermediate,UI/UX Design,5,UI Developer,57.5
90,59,70,49,70,20,64,30,Beginner,SEO,1,Web Development Intern,48.0
53,84,22,78,60,10,80,90,Advanced,Web Design,6,Web Designer,61.25
12,61,90,36,48,50,34,44,Expert,Software Engineering,9,Technical Lead,67.0
20,68,34,78,85,55,20,64,Intermediate,Data Analysis,4,Data Analyst,59.0
78,50,44,62,20,80,40,30,Beginner,Mobile Development,1,Web Development Intern,49.5
37,92,25,70,60,30,75,60,Intermediate,Web Development,3,Web Developer,58.5
43,80,14,45,72,80,90,75,Advanced,Frontend Development,7,Frontend Developer,62.0
16,95,36,90,50,20,60,42,Expert,UI/UX Design,12,Lead UI Designer,68.5
52,38,30,26,90,22,36,76,Beginner,Data Science,1,Web Development Intern,46.5
40,67,80,50,78,50,25,90,Intermediate,Software Development,5,Software Engineer,57.0
65,56,22,60,40,80,44,54,Advanced,Web Design,8,Web Designer,62.5
71,91,32,34,15,90,88,30,Expert,Mobile Development,11,Mobile Engineer,67.0
87,42,44,56,60,22,25,90,Intermediate,SEO,6,SEO Specialist,60.75
11,85,70,72,90,34,82,40,Beginner,Web Development,1,Web Development Intern,48.0
38,60,18,39,50,80,66,74,Advanced,Data Analysis,8,Data Analyst,62.25
62,45,15,20,67,90,20,40,Intermediate,UI/UX Design,5,UI Developer,59.0
25,82,42,36,40,20,90,92,Beginner,Full Stack Development,1,Web Development Intern,47.5
91,36,24,90,85,67,70,54,Expert,Software Engineering,10,Technical Lead,66.5
56,83,14,72,30,12,39,88,Intermediate,Web Design,3,Web Designer,58.0
23,54,67,78,82,34,20,40,Beginner,Mobile Development,1,Web Development Intern,47.0
76,67,45,31,90,40,22,12,Intermediate,Web Development,6,Web Developer,59.25
14,35,25,12,81,89,75,30,Advanced,Frontend Development,9,Frontend Developer,62.0
45,90,30,45,39,20,88,40,Beginner,Data Science,1,Web Development Intern,50.0
83,75,34,76,88,55,66,90,Expert,Software Development,12,Lead Developer,68.5
34,82,30,54,75,44,40,50,Intermediate,UI/UX Design,4,UI Developer,58.5
62,20,12,88,90,60,49,32,Beginner,Web Development,2,Junior Developer,48.5
41,67,29,56,80,72,30,22,Intermediate,Mobile Development,5,Mobile Developer,57.5
61,81,66,72,90,10,80,36,Beginner,Web Design,1,Web Development Intern,47.5
34,75,18,55,80,30,66,90,Intermediate,SEO,6,SEO Specialist,58.0
72,78,60,22,90,20,40,14,Beginner,Mobile Development,1,Web Development Intern,48.0
31,66,76,51,60,20,55,78,Advanced,Web Development,8,Web Developer,62.0
88,39,82,80,20,90,30,44,Expert,Data Science,11,Data Scientist,66.5
40,62,38,66,30,80,50,60,Intermediate,Software Development,5,Software Engineer,59.0
38,86,64,90,85,20,66,34,Beginner,UI/UX Design,1,Web Development Intern,47.0
44,87,25,54,60,40,80,90,Advanced,Full Stack Development,7,Software Engineer,63.0
34,41,38,90,36,55,20,60,Intermediate,Web Design,5,Web Designer,58.5
19,93,26,52,38,70,62,22,Beginner,Mobile Development,1,Web Development Intern,46.0
74,68,45,30,90,75,20,88,Expert,Software Engineering,10,Senior Engineer,67.75
38,72,18,36,80,50,66,90,Intermediate,Web Development,4,Web Developer,59.5
29,49,38,80,60,12,80,20,Beginner,Data Analysis,1,Web Development Intern,46.75
44,76,50,74,78,20,62,58,Advanced,UI/UX Design,6,UI Designer,62.0
50,67,90,75,80,40,20,88,Intermediate,Mobile Development,5,Mobile Developer,59.0
62,68,40,60,50,22,10,76,Beginner,Web Development,2,Web Development Intern,48.5
57,48,76,72,38,90,60,90,Expert,Data Science,10,Data Scientist,66.5
37,59,38,40,50,14,12,90,Intermediate,SEO,4,SEO Specialist,58.5
23,65,60,74,30,80,22,42,Beginner,Software Development,1,Web Development Intern,47.0
26,39,20,66,90,55,12,40,Intermediate,Web Design,3,Web Designer,57.0
88,90,38,12,78,20,80,90,Advanced,Full Stack Development,9,Full Stack Developer,62.0
21,66,34,62,34,85,70,40,Expert,UI/UX Design,12,Lead UI Designer,67.5
25,70,60,50,80,34,80,62,Beginner,Mobile Development,2,Web Development Intern,49.0
29,44,76,36,90,10,20,88,Intermediate,Software Engineering,6,Software Engineer,58.75
85,90,65,50,22,34,78,75,Advanced,Web Development,7,Web Developer,61.25
12,34,50,18,30,40,90,62,Beginner,Data Analysis,1,Web Development Intern,45.0
16,39,44,40,90,30,60,90,Expert,Frontend Development,10,Lead Frontend Developer,68.0
66,56,90,78,80,34,20,36,Intermediate,Mobile Development,5,Mobile Developer,59.0
47,54,14,70,20,72,90,12,Beginner,Web Design,1,Web Development Intern,47.5
19,68,76,86,30,75,12,60,Advanced,Software Development,8,Software Engineer,61.75
58,80,32,45,70,30,90,64,Intermediate,UI/UX Design,4,UI Developer,59.5
20,85,61,82,88,40,80,54,Beginner,Data Analysis,1,Web Development Intern,48.5
44,68,90,88,30,60,90,62,Expert,Full Stack Development,10,Lead Developer,67.0
74,78,68,24,90,80,34,20,Beginner,Web Development,1,Web Development Intern,45.5
28,64,38,56,80,20,66,12,Intermediate,SEO,4,SEO Analyst,58.0
84,90,54,60,32,80,40,88,Advanced,Mobile Development,9,Mobile Developer,62.5
20,66,80,90,70,34,20,54,Beginner,Web Design,1,Web Development Intern,47.5
31,56,32,72,90,40,30,88,Intermediate,Software Development,4,Software Engineer,58.5
24,82,40,58,80,20,80,90,Expert,Data Science,10,Lead Data Scientist,67.5
33,68,60,75,45,32,10,48,Advanced,Web Development,7,Web Developer,61.0
99,54,48,30,90,20,12,60,Beginner,UI/UX Design,1,Web Development Intern,45.0
27,85,80,68,40,30,50,82,Intermediate,Frontend Development,6,Frontend Developer,59.5
78,20,90,75,30,60,54,22,Expert,Software Engineering,10,Technical Lead,68.0
57,80,22,46,90,40,30,58,Beginner,Web Design,1,Web Development Intern,46.5
77,36,60,70,80,22,20,30,Advanced,Mobile Development,8,Mobile Developer,62.0
29,67,90,75,60,50,88,14,Intermediate,Data Analysis,6,Data Analyst,59.0
39,82,16,80,80,30,90,20,Beginner,Web Development,2,Web Development Intern,48.0
30,67,80,54,80,44,20,90,Expert,Full Stack Development,11,Senior Developer,66.0
58,45,68,76,36,20,10,44,Intermediate,UI/UX Design,4,UI Developer,59.0
31,87,54,26,60,72,40,56,Advanced,Software Engineering,8,Software Engineer,62.0
77,32,90,88,30,80,44,54,Beginner,Web Development,1,Web Development Intern,48.0
75,60,34,12,28,20,88,48,Intermediate,Data Science,5,Data Analyst,57.0
61,82,60,40,78,20,30,90,Expert,Mobile Development,10,Lead Mobile Engineer,67.5
14,68,30,90,20,34,20,50,Beginner,UI/UX Design,2,Web Development Intern,47.0
63,90,16,60,85,40,20,80,Advanced,Software Development,7,Software Engineer,61.0
59,48,18,76,90,30,32,72,Intermediate,Web Development,4,Web Developer,59.0
21,66,34,88,75,20,40,90,Beginner,Data Analysis,1,Web Development Intern,46.0
92,66,78,12,80,20,30,70,Expert,Frontend Development,12,Lead Frontend Developer,68.5
21,92,50,36,34,80,20,88,Advanced,Mobile Development,7,Mobile Developer,62.0
20,50,40,48,38,90,60,30,Intermediate,Software Engineering,4,Software Engineer,59.5
86,80,66,60,50,40,12,72,Beginner,Web Design,2,Web Development Intern,48.0
19,72,90,85,40,30,70,64,Intermediate,UI/UX Design,5,UI Developer,58.5
35,70,20,68,34,80,40,40,Expert,Data Science,10,Lead Data Scientist,67.5
12,80,62,24,60,14,90,54,Beginner,Mobile Development,1,Web Development Intern,45.0
46,45,66,62,90,60,40,22,Intermediate,Web Development,3,Web Developer,58.0
12,82,36,90,20,30,60,54,Advanced,Software Engineering,6,Software Engineer,61.0
54,36,72,90,80,30,14,78,Beginner,Data Analysis,1,Web Development Intern,45.5
67,78,40,90,22,40,30,50,Intermediate,UI/UX Design,4,UI Developer,59.0
76,60,90,80,34,20,66,14,Expert,Mobile Development,12,Senior Mobile Developer,67.0
12,90,50,54,70,34,30,40,Beginner,Web Design,1,Web Development Intern,46.0
33,45,34,88,60,20,40,58,Intermediate,Software Development,6,Software Engineer,58.0
72,76,68,90,80,22,20,30,Advanced,Frontend Development,7,Frontend Developer,62.5
35,61,48,32,34,90,30,40,Beginner,Data Science,2,Web Development Intern,45.0
18,76,20,45,50,40,66,90,Intermediate,Mobile Development,5,Mobile Developer,59.5
12,34,36,28,60,30,90,20,Expert,Web Design,9,Lead Web Designer,66.5
45,75,90,12,40,80,88,80,Beginner,Software Engineering,1,Web Development Intern,48.0
43,66,34,36,80,50,20,90,Intermediate,UI/UX Design,5,UI Developer,59.0
35,64,80,34,20,60,12,76,Expert,Data Science,11,Lead Data Scientist,68.0
78,60,34,72,90,22,40,54,Beginner,Web Development,1,Web Development Intern,46.5
50,72,26,68,60,20,10,88,Advanced,Mobile Development,8,Mobile Developer,61
9,11,14,6,7,18,19,8,Beginner,Web Development,0,Intern/Trainee,9.5
3,5,12,8,6,9,7,4,Beginner,UI/UX Design,0,Intern/Trainee,5.9
14,7,6,4,5,12,8,3,Beginner,SEO,1,SEO Assistant,7.4
10,9,11,8,4,6,12,5,Beginner,Data Science,0,Intern/Trainee,7.3
2,8,4,5,6,3,7,10,Beginner,Mobile Development,1,Mobile Development Intern,5.6
6,5,9,7,8,3,6,9,Beginner,Frontend Development,0,Intern/Trainee,6.2
8,12,5,11,4,10,3,7,Beginner,Software Engineering,1,Junior Developer,6.7
10,3,9,4,8,11,6,2,Beginner,Web Design,1,Web Design Assistant,6.5
11,6,5,4,9,3,7,10,Beginner,Data Analysis,0,Intern/Trainee,6.3
4,2,8,10,5,9,6,11,Beginner,Software Development,0,Intern/Trainee,5.8
7,6,10,12,5,4,8,3,Beginner,Web Development,1,Junior Web Developer,6.9
12,3,5,7,9,8,6,5,Beginner,Mobile Development,0,Intern/Trainee,6.6
5,7,6,8,4,10,9,3,Beginner,Frontend Development,1,Junior Developer,6.5
9,6,3,5,8,2,7,6,Beginner,UI/UX Design,0,Intern/Trainee,5.5
4,3,10,7,2,11,9,8,Beginner,Software Engineering,0,Intern/Trainee,6.3
10,8,5,3,7,9,4,5,Beginner,SEO,1,SEO Intern,6.4
6,9,4,2,8,5,10,7,Beginner,Web Development,0,Intern/Trainee,6.3
7,5,6,3,9,11,2,8,Beginner,Software Development,1,Junior Software Engineer,6.4
3,4,5,8,9,6,2,7,Beginner,Data Analysis,1,Data Intern,5.8
9,2,10,6,7,3,5,9,Beginner,Web Design,0,Intern/Trainee,5.7
8,6,3,4,5,7,10,12,Beginner,UI/UX Design,0,Intern/Trainee,6.1
7,10,8,11,4,6,5,9,Beginner,Mobile Development,0,Intern/Trainee,6.3
6,3,5,9,11,10,4,7,Beginner,Software Engineering,1,Junior Developer,6.3
2,7,6,8,4,9,10,5,Beginner,Frontend Development,0,Intern/Trainee,5.8
9,8,3,6,7,12,9,4,Beginner,Data Science,0,Intern/Trainee,6.3
5,10,9,2,6,4,3,10,Beginner,Web Development,1,Junior Developer,5.9
3,8,7,5,4,11,10,6,Beginner,SEO,1,SEO Assistant,6.0
6,5,8,9,7,4,3,11,Beginner,Software Development,0,Intern/Trainee,6.0
8,4,7,3,9,5,6,2,Beginner,Web Design,1,Junior Web Designer,5.7
5,3,2,10,8,6,12,4,Beginner,Frontend Development,0,Intern/Trainee,5.4
11,7,8,4,6,3,9,5,Beginner,Mobile Development,0,Intern/Trainee,6.0
6,2,4,9,8,7,6,4,Beginner,Software Engineering,0,Intern/Trainee,5.6
9,6,7,5,6,8,3,9,Beginner,Data Analysis,1,Junior Data Analyst,6.1
7,8,6,4,5,11,7,3,Beginner,UI/UX Design,1,Junior UI Designer,6.0
10,4,2,7,8,5,6,3,Beginner,SEO,1,SEO Intern,5.8
3,11,8,6,9,5,6,10,Beginner,Web Development,0,Intern/Trainee,6.0
5,3,7,4,6,9,11,8,Beginner,Software Development,1,Junior Developer,5.9
6,10,3,5,9,7,8,11,Beginner,Data Science,1,Junior Data Scientist,6.1
7,5,6,11,8,4,10,3,Beginner,Mobile Development,1,Mobile Development Assistant,6.0
9,8,4,7,10,3,5,11,Beginner,UI/UX Design,0,Intern/Trainee,6.2
4,7,9,10,6,8,5,2,Beginner,Web Design,0,Intern/Trainee,5.9
3,6,8,11,9,5,7,4,Beginner,Software Engineering,0,Intern/Trainee,6.0
5,4,6,8,10,11,9,7,Beginner,Mobile Development,0,Intern/Trainee,5.9
10,7,4,9,8,5,3,10,Beginner,Web Development,1,Junior Web Developer,6.0
6,2,10,7,8,3,5,9,Beginner,Data Science,1,Junior Analyst,5.9
9,5,11,3,8,4,7,10,Beginner,Frontend Development,0,Intern/Trainee,6.0
8,3,6,7,4,10,5,2,Beginner,SEO,1,SEO Assistant,5.8
7,10,6,9,11,4,8,2,Beginner,Software Development,1,Junior Developer,6.1
6,9,7,10,3,5,8,4,Beginner,Mobile Development,1,Junior Mobile Developer,6.0
5,6,8,10,7,3,2,9,Beginner,UI/UX Design,1,Junior UI Designer,5.8
4,10,7,5,9,6,6,8,Beginner,Web Development,0,Intern/Trainee,5.9
9,5,4,8,6,12,10,3,Beginner,Frontend Development,0,Intern/Trainee,6.0
10,6,9,3,8,5,4,11,Beginner,Software Engineering,1,Junior Software Developer,5.9
7,8,3,9,11,5,6,4,Beginner,Data Analysis,1,Junior Data Analyst,6.1
3,5,8,6,11,9,12,7,Beginner,Mobile Development,0,Intern/Trainee,6.1
6,7,10,3,9,6,4,5,Beginner,SEO,0,Intern/Trainee,5.9
7,5,4,12,9,3,8,6,Beginner,Software Development,1,Junior Developer,5.8
8,6,9,7,4,10,6,5,Beginner,UI/UX Design,0,Intern/Trainee,5.9
3,9,7,5,11,10,8,4,Beginner,Data Science,1,Junior Data Analyst,6.0
5,7,4,11,10,8,3,7,Beginner,Mobile Development,1,Junior Developer,6.0
6,9,10,5,8,7,3,11,Beginner,Web Development,1,Junior Web Developer,6.1
7,6,11,5,9,4,6,3,Beginner,SEO,0,Intern/Trainee,5.8
9,8,7,10,6,3,11,5,Beginner,Frontend Development,0,Intern/Trainee,6.0
8,7,6,11,3,9,5,4,Beginner,Data Science,1,Junior Analyst,5.9
9,11,7,5,8,4,10,3,Beginner,Mobile Development,0,Intern/Trainee,6.0
7,10,5,12,4,8,6,3,Beginner,Software Engineering,0,Intern/Trainee,5.9
6,9,4,7,10,6,8,9,Beginner,UI/UX Design,0,Intern/Trainee,6.1
8,7,6,4,10,9,5,3,Beginner,Web Development,1,Junior Developer,6.0
5,6,4,7,8,9,3,11,Beginner,Frontend Development,1,Junior Developer,5.9
7,6,10,8,9,5,6,4,Beginner,Mobile Development,1,Junior Mobile Developer,6.0
9,11,6,5,7,8,4,3,Beginner,Software Development,0,Intern/Trainee,5.9
7,4,9,12,3,11,5,6,Beginner,Web Design,1,Junior Web Designer,5.9
6,3,7,11,10,4,9,5,Beginner,UI/UX Design,1,Junior Designer,5.9
5,7,9,8,4,6,2,3,Beginner,Data Science,0,Intern/Trainee,5.7
9,4,10,7,5,6,3,8,Beginner,Mobile Development,1,Junior Developer,5.9
3,5,7,8,6,12,9,4,Beginner,Software Engineering,1,Junior Developer,5.8
7,10,6,8,4,11,2,6,Beginner,Web Development,0,Intern/Trainee,5.9
9,7,10,6,12,5,7,3,Beginner,SEO,0,Intern/Trainee,6.1
6,10,9,7,8,5,2,11,Beginner,Mobile Development,0,Intern/Trainee,5.9
4,9,6,12,8,5,3,6,Beginner,Frontend Development,1,Junior Developer,5.8
5,6,7,8,9,10,3,7,Beginner,Software Engineering,0,Intern/Trainee,5.9
10,4,11,8,7,3,9,4,Beginner,UI/UX Design,1,Junior Designer,6.0
